
cell_type	feature	quantile	value
Jurkat	DHS.RPM	0.4	0.608657
Jurkat	DHS.RPM	0.5	0.790514
Jurkat	DHS.RPM	0.6	1.074493
Jurkat	DHS.RPM	0.7	1.532857
Jurkat	DHS.RPM	0.75	1.8683445
Jurkat	DHS.RPM	0.85	3.0623914
Jurkat	DHS.RPM	0.9	4.3278936
Jurkat	DHS.RPM	0.95	7.23594934999996
Jurkat	H3K27ac.RPM	0.1	0.102216
Jurkat	H3K27ac.RPM	0.25	0.162465
Jurkat	H3K27ac.RPM	0.3	0.180745
Jurkat	H3K27ac.RPM	0.35	0.199026
Jurkat	H3K27ac.RPM	0.4	0.217306
Jurkat	H3K27ac.RPM	0.5	0.259274
Jurkat	H3K27ac.RPM	0.6	0.317463
Jurkat	H3K27ac.RPM	0.7	0.406807
Jurkat	H3K27ac.RPM	0.75	0.477869
Jurkat	H3K27ac.RPM	0.85	0.775763
Jurkat	H3K27ac.RPM	0.9	1.155534
Jurkat	H3K27ac.RPM	0.95	2.149893
Jurkat	H3K27ac.RPM.expandedRegion	0.1	0.173279
Jurkat	H3K27ac.RPM.expandedRegion	0.25	0.251808
Jurkat	H3K27ac.RPM.expandedRegion	0.3	0.275495
Jurkat	H3K27ac.RPM.expandedRegion	0.35	0.301242
Jurkat	H3K27ac.RPM.expandedRegion	0.4	0.32493
Jurkat	H3K27ac.RPM.expandedRegion	0.5	0.385178
Jurkat	H3K27ac.RPM.expandedRegion	0.6	0.463707
Jurkat	H3K27ac.RPM.expandedRegion	0.7	0.589611
Jurkat	H3K27ac.RPM.expandedRegion	0.75	0.689768
Jurkat	H3K27ac.RPM.expandedRegion	0.85	1.111507
Jurkat	H3K27ac.RPM.expandedRegion	0.9	1.648336
Jurkat	H3K27ac.RPM.expandedRegion	0.95	3.08495465
K562	CTCF.RPM	0.1	0.108319
K562	CTCF.RPM	0.25	0.216638
K562	CTCF.RPM	0.3	0.216638
K562	CTCF.RPM	0.35	0.324957
K562	CTCF.RPM	0.4	0.324957
K562	CTCF.RPM	0.5	0.541595
K562	CTCF.RPM	0.6	0.758233
K562	CTCF.RPM	0.7	1.299828
K562	CTCF.RPM	0.75	2.05806
K562	CTCF.RPM	0.85	5.090991
K562	CTCF.RPM	0.9	7.798965
K562	CTCF.RPM	0.95	12.023405
K562	DHS.RPM	0.1	0.371728
K562	DHS.RPM	0.25	0.49675725
K562	DHS.RPM	0.3	0.55027
K562	DHS.RPM	0.35	0.613288
K562	DHS.RPM	0.4	0.688962
K562	DHS.RPM	0.5	0.887325
K562	DHS.RPM	0.6	1.1832316
K562	DHS.RPM	0.7	1.6456276
K562	DHS.RPM	0.75	1.99899075
K562	DHS.RPM	0.85	3.223539
K562	DHS.RPM	0.9	4.510692
K562	DHS.RPM	0.95	7.53692535
K562	H3K27ac.RPM	0.1	0.079902
K562	H3K27ac.RPM	0.25	0.159804
K562	H3K27ac.RPM	0.3	0.199755
K562	H3K27ac.RPM	0.35	0.239706
K562	H3K27ac.RPM	0.4	0.279657
K562	H3K27ac.RPM	0.5	0.39853
K562	H3K27ac.RPM	0.6	0.559315
K562	H3K27ac.RPM	0.7	0.874022
K562	H3K27ac.RPM	0.75	1.114709
K562	H3K27ac.RPM	0.85	2.25608645
K562	H3K27ac.RPM	0.9	3.605159
K562	H3K27ac.RPM	0.95	6.85600845
K562	H3K27ac.RPM.expandedRegion	0.1	0.119853
K562	H3K27ac.RPM.expandedRegion	0.25	0.276717
K562	H3K27ac.RPM.expandedRegion	0.3	0.317648
K562	H3K27ac.RPM.expandedRegion	0.35	0.358579
K562	H3K27ac.RPM.expandedRegion	0.4	0.435541
K562	H3K27ac.RPM.expandedRegion	0.5	0.558334
K562	H3K27ac.RPM.expandedRegion	0.6	0.79412
K562	H3K27ac.RPM.expandedRegion	0.7	1.19265
K562	H3K27ac.RPM.expandedRegion	0.75	1.548289
K562	H3K27ac.RPM.expandedRegion	0.85	3.131628
K562	H3K27ac.RPM.expandedRegion	0.9	5.046337
K562	H3K27ac.RPM.expandedRegion	0.95	9.67340514999998
WTC11	CTCF.RPM	0.1	0.198689
WTC11	CTCF.RPM	0.25	0.278872
WTC11	CTCF.RPM	0.3	0.313656
WTC11	CTCF.RPM	0.35	0.335176
WTC11	CTCF.RPM	0.4	0.357875
WTC11	CTCF.RPM	0.5	0.417718
WTC11	CTCF.RPM	0.6	0.495542
WTC11	CTCF.RPM	0.7	0.611689
WTC11	CTCF.RPM	0.75	0.712213
WTC11	CTCF.RPM	0.85	1.223379
WTC11	CTCF.RPM	0.9	1.8173212
WTC11	CTCF.RPM	0.95	2.682589
WTC11	DHS.RPM	0.1	0.6232516
WTC11	DHS.RPM	0.25	0.746078
WTC11	DHS.RPM	0.3	0.79387
WTC11	DHS.RPM	0.35	0.848226
WTC11	DHS.RPM	0.4	0.909644
WTC11	DHS.RPM	0.5	1.074252
WTC11	DHS.RPM	0.6	1.325399
WTC11	DHS.RPM	0.7	1.735412
WTC11	DHS.RPM	0.75	2.046152
WTC11	DHS.RPM	0.85	3.1422875
WTC11	DHS.RPM	0.9	4.243041
WTC11	DHS.RPM	0.95	6.2802067
WTC11	H3K27ac.RPM	0.1	0.10579
WTC11	H3K27ac.RPM	0.25	0.198307
WTC11	H3K27ac.RPM	0.3	0.228128
WTC11	H3K27ac.RPM	0.35	0.260608
WTC11	H3K27ac.RPM	0.4	0.294385
WTC11	H3K27ac.RPM	0.5	0.370859
WTC11	H3K27ac.RPM	0.6	0.46942
WTC11	H3K27ac.RPM	0.7	0.606942599999999
WTC11	H3K27ac.RPM	0.75	0.703086
WTC11	H3K27ac.RPM	0.85	1.023226
WTC11	H3K27ac.RPM	0.9	1.3326632
WTC11	H3K27ac.RPM	0.95	2.0236622
WTC11	H3K27ac.RPM.expandedRegion	0.1	0.166905
WTC11	H3K27ac.RPM.expandedRegion	0.25	0.292802
WTC11	H3K27ac.RPM.expandedRegion	0.3	0.3322924
WTC11	H3K27ac.RPM.expandedRegion	0.35	0.373629
WTC11	H3K27ac.RPM.expandedRegion	0.4	0.416722
WTC11	H3K27ac.RPM.expandedRegion	0.5	0.513987
WTC11	H3K27ac.RPM.expandedRegion	0.6	0.639093
WTC11	H3K27ac.RPM.expandedRegion	0.7	0.816106
WTC11	H3K27ac.RPM.expandedRegion	0.75	0.937939
WTC11	H3K27ac.RPM.expandedRegion	0.85	1.346531
WTC11	H3K27ac.RPM.expandedRegion	0.9	1.740377
WTC11	H3K27ac.RPM.expandedRegion	0.95	2.6328371
