cell_type	element_category	distance_category	ubiq_category	n_pairs
GM12878	High H3K27ac	100-250 kb	Ubiq. expr. gene	9208
GM12878	High H3K27ac	250 kb-1 Mb	Other gene	128249
GM12878	High H3K27ac	250 kb-1 Mb	Ubiq. expr. gene	37030
GM12878	No H3K27ac	0-10 kb	Other gene	5421
GM12878	No H3K27ac	0-10 kb	Ubiq. expr. gene	1493
GM12878	No H3K27ac	1 Mb-2 Mb	Other gene	418537
GM12878	No H3K27ac	1 Mb-2 Mb	Ubiq. expr. gene	110956
GM12878	No H3K27ac	10-100 kb	Other gene	48235
GM12878	No H3K27ac	10-100 kb	Ubiq. expr. gene	12611
GM12878	No H3K27ac	100-250 kb	Other gene	76476
GM12878	No H3K27ac	100-250 kb	Ubiq. expr. gene	19964
GM12878	No H3K27ac	250 kb-1 Mb	Other gene	348512
GM12878	No H3K27ac	250 kb-1 Mb	Ubiq. expr. gene	94796
HCT116	CTCF element	0-10 kb	Other gene	1637
HCT116	CTCF element	0-10 kb	Ubiq. expr. gene	239
HCT116	CTCF element	1 Mb-2 Mb	Other gene	205983
HCT116	CTCF element	1 Mb-2 Mb	Ubiq. expr. gene	56396
HCT116	CTCF element	10-100 kb	Other gene	18940
HCT116	CTCF element	10-100 kb	Ubiq. expr. gene	4445
HCT116	CTCF element	100-250 kb	Other gene	32133
HCT116	CTCF element	100-250 kb	Ubiq. expr. gene	8404
HCT116	CTCF element	250 kb-1 Mb	Other gene	161091
HCT116	CTCF element	250 kb-1 Mb	Ubiq. expr. gene	43174
HCT116	H3K27ac	0-10 kb	Other gene	8675
HCT116	H3K27ac	0-10 kb	Ubiq. expr. gene	2122
HCT116	H3K27ac	1 Mb-2 Mb	Other gene	546410
HCT116	H3K27ac	1 Mb-2 Mb	Ubiq. expr. gene	145530
HCT116	H3K27ac	10-100 kb	Other gene	72513
HCT116	H3K27ac	10-100 kb	Ubiq. expr. gene	20164
HCT116	H3K27ac	100-250 kb	Other gene	110515
HCT116	H3K27ac	100-250 kb	Ubiq. expr. gene	30402
HCT116	H3K27ac	250 kb-1 Mb	Other gene	476985
HCT116	H3K27ac	250 kb-1 Mb	Ubiq. expr. gene	130293
HCT116	H3K27me3 element	0-10 kb	Other gene	155
HCT116	H3K27me3 element	0-10 kb	Ubiq. expr. gene	8
HCT116	H3K27me3 element	1 Mb-2 Mb	Other gene	36153
HCT116	H3K27me3 element	1 Mb-2 Mb	Ubiq. expr. gene	9893
HCT116	H3K27me3 element	10-100 kb	Other gene	1892
HCT116	H3K27me3 element	10-100 kb	Ubiq. expr. gene	308
HCT116	H3K27me3 element	100-250 kb	Other gene	4115
HCT116	H3K27me3 element	100-250 kb	Ubiq. expr. gene	956
HCT116	H3K27me3 element	250 kb-1 Mb	Other gene	25803
HCT116	H3K27me3 element	250 kb-1 Mb	Ubiq. expr. gene	6516
HCT116	High H3K27ac	0-10 kb	Other gene	3926
HCT116	High H3K27ac	0-10 kb	Ubiq. expr. gene	932
HCT116	High H3K27ac	1 Mb-2 Mb	Other gene	157624
HCT116	High H3K27ac	1 Mb-2 Mb	Ubiq. expr. gene	42685
HCT116	High H3K27ac	10-100 kb	Other gene	22859
HCT116	High H3K27ac	10-100 kb	Ubiq. expr. gene	6390
HCT116	High H3K27ac	100-250 kb	Other gene	33700
HCT116	High H3K27ac	100-250 kb	Ubiq. expr. gene	9765
HCT116	High H3K27ac	250 kb-1 Mb	Other gene	139922
HCT116	High H3K27ac	250 kb-1 Mb	Ubiq. expr. gene	38964
HCT116	No H3K27ac	0-10 kb	Other gene	2783
HCT116	No H3K27ac	0-10 kb	Ubiq. expr. gene	370
HCT116	No H3K27ac	1 Mb-2 Mb	Other gene	350320
HCT116	No H3K27ac	1 Mb-2 Mb	Ubiq. expr. gene	91680
HCT116	No H3K27ac	10-100 kb	Other gene	34298
HCT116	No H3K27ac	10-100 kb	Ubiq. expr. gene	7851
HCT116	No H3K27ac	100-250 kb	Other gene	58415
HCT116	No H3K27ac	100-250 kb	Ubiq. expr. gene	15085
HCT116	No H3K27ac	250 kb-1 Mb	Other gene	281994
